date,agent_id,agent_name,team,gender,age,attendance_status,shift_start_time,shift_end_time,login_time,logout_time,tea_break_time,lunch_break_time,bio_break_time,training_time,talk_time,hold_time,after_call_work,calls_handled,total_login,quality_score
1/1/2025,Moni001,Monika Gupta,Retention,Female,27,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Sanj002,Sanjay Rao,Inbound,Female,21,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Sneh003,Sneha Nair,Retention,Female,21,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Mano004,Manoj Rao,Retention,Male,33,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Vign005,Vignesh Das,Inbound,Male,29,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Sure006,Suresh Shetty,Inbound,Male,23,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Vign007,Vignesh Gupta,Retention,Male,27,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Pree008,Preethi Yadav,Outbound,Female,26,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Ajay009,Ajay Menon,Retention,Male,28,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Pree010,Preethi Verma,Retention,Male,29,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Kart011,Karthik Agarwal,Retention,Male,25,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Neha012,Neha Reddy,Retention,Male,21,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Sanj013,Sanjay Gupta,Inbound,Male,39,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Rohi014,Rohit Rao,Retention,Female,30,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Arun015,Arun Shetty,Outbound,Male,32,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Nish016,Nisha Menon,Inbound,Female,35,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Nish017,Nisha Agarwal,Outbound,Male,29,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Deep018,Deepak Chopra,Outbound,Female,37,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Keer019,Keerthana Shetty,Outbound,Male,37,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Hari020,Harish Chopra,Outbound,Male,32,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Sowm021,Sowmya Patel,Inbound,Female,27,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Vign022,Vignesh Rao,Inbound,Female,22,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Ajay023,Ajay Shetty,Outbound,Female,23,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Pooj024,Pooja Agarwal,Outbound,Male,37,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Nish025,Nisha Mehta,Inbound,Female,25,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Moni026,Monika Verma,Inbound,Male,37,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Shru027,Shruthi Joshi,Inbound,Male,37,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Keer028,Keerthana Kumar,Retention,Female,37,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Deep029,Deepak Gupta,Retention,Female,22,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Aish030,Aishwarya Patel,Retention,Male,22,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Hari031,Harini Agarwal,Outbound,Male,25,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Anja032,Anjali Reddy,Retention,Female,21,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Varu033,Varun Patel,Outbound,Female,21,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Mano034,Manoj Gupta,Outbound,Female,39,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Sanj035,Sanjay Patel,Retention,Male,22,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Shru036,Shruthi Das,Outbound,Male,32,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Rake037,Rakesh Reddy,Retention,Male,26,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Ajay038,Ajay Nair,Retention,Male,24,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
